"customer_status","age","dependents","education","marital_status","employment_status","income","card_type","months_since_first_account","total_accounts","months_inactive_last_year","contacted_last_year","credit_limit","utilization_ratio","spend_ratio_q4_q1","total_spend_last_year","transactions_last_year","transaction_ratio_q4_q1"
"closed_account",46,3,"masters","married","self_employed",67807,"blue",36,2,3,4,4267,0,0.862,1067,23,0.769
"closed_account",46,3,"associates","married","self_employed",51785,"blue",34,2,3,2,8583,0,0.358,1794,31,0.292
"closed_account",44,4,"masters","single","part_time",105643,"gold",36,5,3,2,2367,0.678,0.956,4506,59,0.639
"closed_account",62,1,"masters","single","part_time",34138,"gold",56,1,2,1,3109,0,1.054,5470,72,0.674
"closed_account",38,1,"masters","married","full_time",36264,"blue",20,2,2,3,1621,0.358,0.421,1893,41,0.171
"closed_account",43,3,"associates","single","part_time",84234,"blue",30,3,2,4,11336,0,0.691,1809,39,0.345
"active",43,2,"masters","married","full_time",35379,"blue",35,3,1,3,4092,0.152,0.775,5001,88,0.492
"closed_account",39,3,"associates","married","part_time",67047,"blue",29,4,3,4,2187,0,0.467,2031,40,0.333
"active",54,1,"masters","single","full_time",35903,"gold",47,6,3,4,12873,0,1.005,3170,70,0.842
"active",46,4,"masters","divorced","full_time",71585,"gold",41,4,2,1,5397,0.433,0.67,4734,96,0.846
"active",44,3,"bachelors","single","full_time",37385,"blue",30,6,3,3,4539,0.452,0.705,2960,67,0.861
"closed_account",56,3,"associates","married","full_time",73111,"blue",45,5,3,2,12248,0,0.894,767,25,0.562
"closed_account",50,0,"masters","single","part_time",35045,"blue",41,2,3,1,3423,0,0.505,2229,45,0.406
"active",39,3,"masters","married","full_time",101360,"blue",33,6,6,4,18582,0.043,0.717,1836,46,0.586
"closed_account",65,1,"associates","married","part_time",34961,"silver",47,3,2,1,1759,0,1.058,821,18,0.5
"closed_account",43,3,"masters","married","full_time",68289,"gold",36,4,2,3,17239,0,0.393,1789,38,0.357
"closed_account",49,3,"masters","single","full_time",35535,"blue",31,2,3,4,4946,0,0.54,2239,38,0.407
